passage_uri,real_sourcekey
https://r11.eu/rdf/resource/86a5e2e9-35d8-49fa-9e88-ce7c40bc6132,Vatopedi 7
https://r11.eu/rdf/resource/2282ccc1-283c-49b1-a90b-bc140d66400e,Vatopedi 7
https://r11.eu/rdf/resource/d7dd940e-29af-48f2-8379-b9ff6e3c0cf3,Panteleemon 4
https://r11.eu/rdf/resource/c511e263-3e1e-490a-94af-dd1777d7d269,Xeropotamou 5
https://r11.eu/rdf/resource/ef2c4cdc-8ba0-4f33-948a-b05688ac25dd,Panteleemon 4
https://r11.eu/rdf/resource/8d5d9652-2dfd-4db3-b81d-7c816312439f,Xeropotamou 5
https://r11.eu/rdf/resource/5c9c2e74-9e49-423b-91c6-b2daa9f58e88,Panteleemon 4
https://r11.eu/rdf/resource/63dea5ca-296b-47c5-b668-33ebd07c0263,Lavra 47
https://r11.eu/rdf/resource/7b274acf-2bce-49c7-bc19-c6eadefa968b,Lavra 47
https://r11.eu/rdf/resource/a5febf3a-bbaf-4817-b3e3-c26d555ca765,Kleinchroniken 14
https://r11.eu/rdf/resource/be10ea69-e9c2-4f1f-9eee-6a69462c2247,Kleinchroniken 15
https://r11.eu/rdf/resource/ebac9770-c08c-443a-8a00-7cbcde461131,Kleinchroniken 15
https://r11.eu/rdf/resource/d87ecda8-03e4-420e-be71-6c1f333a7c1a,Kleinchroniken 15
https://r11.eu/rdf/resource/15526cb9-d21a-441e-8aa6-f17e623f8af0,Kleinchroniken 14
https://r11.eu/rdf/resource/5ae034e0-4dd3-4792-bd7d-c5bcce23b521,Lavra 43
https://r11.eu/rdf/resource/b9b92d93-9898-4504-bafd-695a443bbb37,Vatopedi 11
https://r11.eu/rdf/resource/e211bb60-5532-4286-9d22-155b7177578a,Vatopedi 11
https://r11.eu/rdf/resource/3362ee7b-1c82-4038-b079-45ba8e4e6a38,"Theophylaktos of Ohrid, Letters 10"
https://r11.eu/rdf/resource/975f1032-87dd-4549-8a20-97fe551fbcbd,"Theophylaktos of Ohrid, Letters 10"
https://r11.eu/rdf/resource/e8c23d65-1bcb-4554-89e1-73e1ccf5aa2c,Lavra 51
https://r11.eu/rdf/resource/9237b5dc-06dd-4f46-8889-c0b1a6b74836,Lavra 51
https://r11.eu/rdf/resource/402ebbb2-d754-46dc-b0ac-4642700a01c9,Xenophontos 2
https://r11.eu/rdf/resource/3498ecc9-06d6-4beb-a738-7d99eb1be6e7,Esphigmenou 5
https://r11.eu/rdf/resource/ada9c539-25bd-4018-b1a3-705e842db397,"Theophylaktos of Ohrid, Letters 22"
https://r11.eu/rdf/resource/ab1d5058-70ae-4fe5-913c-8797959af890,Panteleemon 4
https://r11.eu/rdf/resource/9de01026-0098-4b8f-81c0-8e0e88b4aa32,Panteleemon 4
https://r11.eu/rdf/resource/13b6e94e-af09-4056-9a58-aee0d6d7fbf3,Vatopedi 8
https://r11.eu/rdf/resource/a301df29-f40b-46c6-bfe3-4b4e1a642f6f,Vatopedi 8
https://r11.eu/rdf/resource/cf9c57b1-643f-492a-96a9-1d9573c5350a,Kleinchroniken 14
https://r11.eu/rdf/resource/baeca68c-7e66-4627-ade8-9b47a118df9b,Kleinchroniken 15
https://r11.eu/rdf/resource/8cf1533c-c655-4058-ab77-508657e691f8,Kleinchroniken 14
https://r11.eu/rdf/resource/44150534-1b8b-4ff0-bb73-64261d9b3356,Kleinchroniken 14
https://r11.eu/rdf/resource/7576af61-0882-42d1-943c-39b661c0d8bf,Mauropous: Orations 58
https://r11.eu/rdf/resource/54f84f6e-4ea9-4827-ba1d-846a4646900b,Mauropous: Orations 71-72
https://r11.eu/rdf/resource/76022c97-433a-4f0f-afc9-096802a6d549,Mauropous: Orations 71-72
https://r11.eu/rdf/resource/65bb4ca2-24d3-4b59-bbf9-f19046e79f7c,Lavra 31
https://r11.eu/rdf/resource/c36010c6-ebe0-437c-9cb4-654985cf6e19,Lavra 33
https://r11.eu/rdf/resource/b1452983-89a9-450e-9e25-729ae9dbb33f,Lavra 31
https://r11.eu/rdf/resource/2f048fdd-a546-4c88-8d08-e59f04ce1ed3,Vatopedi 11
https://r11.eu/rdf/resource/63f2916c-03c7-44f8-bbb1-8e88463e3111,Vatopedi 11
https://r11.eu/rdf/resource/5a2528be-81b3-4cae-bdb6-9b009c53441f,Panteleemon 4
https://r11.eu/rdf/resource/3af87ce5-3f32-42d8-94f0-171e17e3b794,Kleinchroniken 15
https://r11.eu/rdf/resource/2009f67f-38de-41bf-aa1a-61fff2fae738,Kleinchroniken 15
https://r11.eu/rdf/resource/c532b0a5-a527-4097-8c9d-a3c244ee918b,Kleinchroniken 14
https://r11.eu/rdf/resource/24e9fddb-6070-469d-a6f1-ecafa93033d3,Kleinchroniken 14
https://r11.eu/rdf/resource/6f85b9b9-c330-4520-970c-f45c3b3d3293,Kleinchroniken 17
https://r11.eu/rdf/resource/44ea1506-e41c-4fbd-8953-73f95313c772,Lavra 33
https://r11.eu/rdf/resource/b41813e0-3d72-43c1-9ec5-a1ce931856db,Lavra 33
https://r11.eu/rdf/resource/fe73f571-1f65-4de2-869b-381b3360e155,Lavra 33
https://r11.eu/rdf/resource/81d10b0e-44c6-4e36-abaf-0634b01b1d0a,Lavra 36
https://r11.eu/rdf/resource/9887a6ae-aea2-4509-acbc-092e12792b83,Vatopedi 8
https://r11.eu/rdf/resource/d9c8923b-f190-4efd-a55b-1ca264cfd1a8,Vatopedi 8
https://r11.eu/rdf/resource/b9a83986-8ba5-419a-82f5-bbc76cff0db5,Vatopedi 8
https://r11.eu/rdf/resource/2c7a9574-5cb1-4e7a-a364-d32712d53a6b,Kleinchroniken 16
https://r11.eu/rdf/resource/b3510f98-5fa8-4677-816b-9e2deee498e5,Kleinchroniken 16
https://r11.eu/rdf/resource/3b37d22c-d51b-43d5-a0b4-0ce8947746aa,"Nea Mone, Gedeon 8"
https://r11.eu/rdf/resource/c45c2e64-f5b0-4712-abab-601a02a13499,"Nea Mone, Gedeon 8"
https://r11.eu/rdf/resource/c946fafa-d6f8-451c-a946-bc14bb09b635,"Theophylaktos of Ohrid, Letters 32"
https://r11.eu/rdf/resource/a829713a-5f2f-4fc9-bcfb-b070d19e9958,"Theophylaktos of Ohrid, Letters 32"
https://r11.eu/rdf/resource/cc7fb824-b629-453d-85e0-d18d6740258c,Esphigmenou 5
https://r11.eu/rdf/resource/1a6b5ec5-2b5b-40bb-82dc-d36010bddd54,Esphigmenou 5
https://r11.eu/rdf/resource/a981041b-a560-40e5-baff-db2a3d74835a,Esphigmenou 5
